FID IID
1000052 1000052
1005727 1005727
1012659 1012659
1012853 1012853
1031410 1031410
1038042 1038042
1058250 1058250
1078482 1078482
1080374 1080374
1095443 1095443
1100469 1100469
1100563 1100563
1100671 1100671
1110070 1110070
1127453 1127453
1129939 1129939
1167142 1167142
1169397 1169397
1190915 1190915
1196509 1196509
1201253 1201253
1203960 1203960
1206267 1206267
1216450 1216450
1225374 1225374
1228821 1228821
1238808 1238808
1286215 1286215
1297778 1297778
1305495 1305495
1313101 1313101
1313460 1313460
1320430 1320430
1322805 1322805
1327789 1327789
1339953 1339953
1366353 1366353
1366672 1366672
1367886 1367886
1382071 1382071
1385428 1385428
1403388 1403388
1406936 1406936
1426915 1426915
1430356 1430356
1433517 1433517
1448670 1448670
1461776 1461776
1464731 1464731
1470615 1470615
1481805 1481805
1492709 1492709
1495465 1495465
1505767 1505767
1508803 1508803
1516726 1516726
1527624 1527624
1529717 1529717
1531645 1531645
1534583 1534583
1536064 1536064
1539617 1539617
1547216 1547216
1548104 1548104
1549301 1549301
1551193 1551193
1552089 1552089
1557784 1557784
1559253 1559253
1577611 1577611
1583758 1583758
1615204 1615204
1615458 1615458
1619396 1619396
1628891 1628891
1630702 1630702
1652004 1652004
1654077 1654077
1656871 1656871
1657450 1657450
1659722 1659722
1695819 1695819
1699637 1699637
1703553 1703553
1704785 1704785
1705047 1705047
1726260 1726260
1729945 1729945
1773021 1773021
1783352 1783352
1805838 1805838
1836816 1836816
1844486 1844486
1853241 1853241
1863381 1863381
1889414 1889414
1899852 1899852
1901596 1901596
1942901 1942901
1945111 1945111
1953646 1953646
1956037 1956037
1968604 1968604
1991231 1991231
2004490 2004490
2017089 2017089
2021777 2021777
2025645 2025645
2029227 2029227
2045208 2045208
2045522 2045522
2062525 2062525
2098038 2098038
2103969 2103969
2114540 2114540
2123151 2123151
2125831 2125831
2134563 2134563
2169475 2169475
2186142 2186142
2189845 2189845
2192298 2192298
2197121 2197121
2197164 2197164
2222730 2222730
2235216 2235216
2239531 2239531
2248427 2248427
2252810 2252810
2263731 2263731
2287200 2287200
2288542 2288542
2299011 2299011
2302235 2302235
2309591 2309591
2327464 2327464
2327660 2327660
2329238 2329238
2339195 2339195
2352988 2352988
2356365 2356365
2368600 2368600
